Stock Number,Stock Name
228974,360 One Wam Ltd.
214179,Sona Blw Precision Forgings Ltd.
132777,Info Edge (India) Ltd.
305013,Motherson Sumi Wiring India Ltd.
209024,RR Kabel Ltd.
126299,Mphasis Ltd.
211337,Polycab India Ltd.
302988,FSN E-Commerce Ventures Ltd.
111243,Cholamandalam Investment And Finance Company Ltd.
100850,The Indian Hotels Company Ltd.
100027,Atul Ltd.
100575,Voltas Ltd.
100830,Colgate - Palmolive (India) Ltd.
234556,CMS Info Systems Ltd
103100,The Phoenix Mills Ltd.
232353,Orient Refractories Ltd.
124494,IPCA Laboratories Ltd.
211840,Mankind Pharma Ltd
229365,Jio Financial Services Ltd
318678,ITC Hotels Ltd
132523,Biocon Ltd.
100483,Tata Communications Ltd.
216065,Jyoti CNC Automation Ltd
132174,ICICI BANK LTD.
100180,HDFC BANK LTD.
100325,RELIANCE INDUSTRIES LTD.
132454,BHARTI AIRTEL LTD.
132555,NTPC LTD
100034,BAJAJ FINANCE LTD.
100112,STATE BANK OF INDIA.
100114,TITAN COMPANY LTD.
100312,Oil And Natural Gas Corporation Ltd.
132215,AXIS BANK LTD.
132540,TATA CONSULTANCY SERVICES LTD.
100295,VEDANTA LTD.
100800,TATA CONSUMER PRODUCTS LTD.
111218,SHRIRAM FINANCE LIMITED
103806,SRF LTD.
132648,YES Bank Ltd.
117334,SAMVARDHANA MOTHERSON INTERNATIONAL LTD
112599,Adani Enterprises Ltd
278580,IDFC FIRST BANK LIMITED
100251,Trent Ltd
124715,SUN PHARMACEUTICAL INDUSTRIES LTD.
132432,United Spirits Ltd
132822,Vodafone Idea Ltd
130965,INDIAN OIL CORPORATION LTD.
100247,KOTAK MAHINDRA BANK LTD.
208461,JSW ENERGY LTD.
100570,TATA MOTORS LTD.
211337,polycab India Limited
222055,Inter Globe Aviation Ltd
254493,PB Fintech Ltd.
210258,ICICI Prudential Life Insurance Co. Ltd.
132777,Info Edge India Ltd.
269404,Tube Investments Of India Ltd.
190059,APL Apollo Tubes Ltd
208238,GODREJ PROPERTIES LIMITED
217389,HDFC Life Insurance Company Ltd
271867,Laurus Labs Ltd
280713,Crompton Greaves Consumer Electricals Limited
100368,Ruchi Soya Industries Ltd.
289554,Adani Green Energy Ltd.
126299,Mphasis Ltd
100104,HINDUSTAN PETROLEUM CORPORATION LTD.
123642,P I Industries Ltd
211385,SBI Life Insurance Company Ltd
132483,CANARA BANK
217757,PNB HOUSING FINANCE LTD.
229365,JIO FINANCIAL SERVICES LTD
100093,CG Power and Industrial Solutions Ltd.
100547,BHARAT PETROLEUM CORPORATION  LTD.
117569,KEI Industries Ltd.
100271,Max Financial Services Ltd
132296,Glenmark Pharmaceuticals Ltd
126371,NMDC Ltd.
100425,AMBUJA CEMENTS LTD.
132286,Jindal Steel & Power Ltd
217379,ICICI Lombard General Insurance Company Ltd
109930,Supreme Industries Limited
208412,Indian Railway Catering And Tourism Corporation Lt
208883,One 97 Communications Ltd
100113,Steel Authority of India Ltd.
200048,IRB INFRASTRUCTURE DEVELOPERS LTD
100400,Tata Power Company Ltd.
293380,Dalmia Bharat Limited
200055,REC LTD
132234,National Aluminium Company Ltd.
100483,Tata Communications Ltd
132149,BANK OF INDIA
132424,GODREJ CONSUMER PRODUCTS LTD.
132461,PUNJAB NATIONAL BANK
132754,GMR AIRPORTS LIMITED
132477,UNION BANK OF INDIA
225051,SBI Cards & Payment Services Pvt. Ltd.
217376,Life Insurance Corporation Of India
209068,RBL BANK LTD.
131642,MARICO LTD.
271875,ADANI ENERGY SOLUTIONS LTD.
221790,MUTHOOT FINANCE LTD.
210591,ADITYA BIRLA FASHION AND RETAIL LTD.
200091,Oil India Limited
131213,Manappuram Finance Ltd.
215367,Jubilant Foodworks Limited
100302,PIRAMAL ENTERPRISES LTD.
279527,BANDHAN BANK LIMITED
242461,ADITYA BIRLA CAPITAL LTD
224623,Indian Energy Exchange Ltd.
213838,Prestige Estates Projects Limited
132725,Solar Industries India Limited
100850,INDIAN HOTELS CO LTD
132466,Oracle Financial Services Software Ltd
100253,LIC HOUSING FINANCE LTD.
100183,HFCL LTD
216156,Larsen & Toubro Infotech Ltd
132779,Torrent Power Ltd
132134,BANK OF BARODA
132830,ASTRAL LTD.
132921,Adani Ports and Special Economic Zone Limited
100495,Escorts Ltd.
100188,Hindustan Zinc Ltd.
100770,Tata Chemicals Ltd.
132523,BIOCON LTD.
113599,HINDUSTAN COPPER LTD.
209373,Syngene International Limited
132482,Granules India Ltd.
213327,Housing & Urban Development Corporation Ltd.
102355,Balkrishna Industries Ltd
132400,Birlasoft LImited
132636,India Infoline Ltd
209420,TATA TECHNOLOGIES LTD
208801,NBCC (India) Ltd
103100,PHOENIX MILLS LTD.
208661,Mahanagar Gas Ltd
318585,UPL Ltd
100294,NCC Limited
221809,INOX WIND LIMITED
226720,KALYAN JEWELLERS INDIA LTD.
112070,UPL Ltd
223595,Avenue Supermarts Ltd
132187,INDUSIND BANK LTD.
100820,Asian Paints(India) Ltd.
100124,Dr.Reddy's  Laboratories Ltd.
220018,Oberoi Realty Limited
132814,INDIAN BANK
210072,Dixon Technologies India Ltd
100830,Colgate- Palmolive (India) Ltd.
289108,DELHIVERY LTD
132508,JINDAL STAINLESS LTD
228347,Adani Total Gas Ltd.
106401,Deepak Nitrite Ltd.
294320,KPIT Technologies Ltd.
220512,SJVN Limited
100493,BHARAT FORGE LTD.
268618,L&T Technology Services Ltd
210036,Computer Age Management Services Limited
111243,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD.
132644,JK Cement Ltd.
214179,Sona BLW Precision Forgings Ltd
207901,BSE LTD
111196,CAN FIN HOMES LTD.
132504,NAVIN FLUORINE INTERNATIONAL LTD.
219442,MACROTECH DEVELOPERS LTD
218763,DR.Lal Pathlabs Ltd
132689,PVR LTD.
207950,Central Depository Services (India) Ltd
100488,Abbott India Ltd.
100043,Bata India Ltd.
249927,GUJARAT GAS LTD
100670,Gujarat Narmada Valley Fertilisers Company Ltd.
290269,Indiamart Intermesh ltd.
100180,EQ - HDFC BANK LIMITED
132174,EQ - ICICI BANK LTD
100325,EQ - RELIANCE INDUSTRIES LTD.
100209,EQ - INFOSYS LTD.
132454,EQ - BHARTI AIRTEL LTD.
100510,EQ - LARSEN & TOUBRO LTD.
100875,EQ - ITC LTD.
132540,EQ - TATA CONSULTANCY SERVICES LTD.
132215,EQ - AXIS BANK LTD.
100112,EQ - STATE BANK OF INDIA
100247,EQ - KOTAK MAHINDRA BANK LTD.
100520,EQ - MAHINDRA & MAHINDRA LTD.
100034,EQ - BAJAJ FINANCE LTD.
100696,EQ - HINDUSTAN UNILEVER LTD
124715,EQ - SUN PHARMACEUTICALS INDUSTRIES
132281,EQ - HCL TECHNOLOGIES LTD.
252306,EQ - ZOMATO LTD
132500,EQ - MARUTI SUZUKI INDIA LTD.
132555,EQ - NTPC LTD.
100570,EQ - TATA MOTORS LTD.
100114,EQ - TITAN COMPANY LTD.
100049,EQ - BHARAT ELECTRONICS LTD.
100470,EQ - TATA STEEL LTD.
132898,EQ - POWER GRID CORPORATION OF INDI
132538,EQ - ULTRATECH CEMENT LTD.
100251,EQ - TRENT LIMITED
205198,EQ - BAJAJ FINSERV LTD.
132921,EQ - ADANI PORTS AND SPECIAL ECONO
100820,EQ - ASIAN PAINTS (INDIA) LTD.
132755,EQ - TECH MAHINDRA LTD.
100300,EQ - GRASIM INDUSTRIES LTD.
200132,EQ - BAJAJ AUTO LTD.
100228,EQ - JSW STEEL LTD.
229365,EQ - JIO FINANCIAL SERVICES LTD
100312,EQ - OIL & NATURAL GAS CORPORATION
100440,EQ - HINDALCO INDUSTRIES LTD.
219300,EQ - COAL INDIA LTD.
